GroNum,PointNum,T5,p5,O2,N2,cyC6H12,AR,Phi,ExpIDT,IDTrun,ExpUn,Condition,Reference
1,1,681,8000000,20.672,77.023,2.542,0,0.5,0.053,5.3,0.2,IDTOHpeak,Lem01
1,2,774,8000000,20.672,77.023,2.542,0,0.5,0.047,4.7,0.2,IDTOHpeak,Lem01
1,3,880,8000000,20.672,77.023,2.542,0,0.5,0.026,2.6,0.2,IDTOHpeak,Lem01
1,4,690,14000000,20.672,77.023,2.542,0,0.5,0.037,3.7,0.2,IDTOHpeak,Lem01
1,5,780,14000000,20.672,77.023,2.542,0,0.5,0.018,1.8,0.2,IDTOHpeak,Lem01
1,6,874,14000000,20.672,77.023,2.542,0,0.5,0.011,1.1,0.2,IDTOHpeak,Lem01
1,7,1449,8000000,9,0,0.5,90.5,0.5,0.01,1,0.2,IDTOHpeak,Sirjean07
1,8,1212,8000000,9,0,0.5,90.5,0.5,2.5,250,0.2,IDTOHpeak,Sirjean07
1,9,1575,8000000,4.5,0,0.5,95,0.5,0.15,15,0.2,IDTOHpeak,Sirjean07
1,10,1285,8000000,4.5,0,0.5,95,0.5,1,100,0.2,IDTOHpeak,Sirjean07
1,11,1739,8000000,2.25,0,0.5,97.25,0.5,0.03,3,0.2,IDTOHpeak,Sirjean07
1,12,1538,8000000,2.25,0,0.5,97.25,0.5,0.15,15,0.2,IDTOHpeak,Sirjean07
1,13,994,14900000,20.53,77.19,2.281,0,0.5,0.001074,0.1074,0.2,IDTOHpeak,Daley1
1,14,1166,13000000,20.53,77.19,2.281,0,0.5,0.000158,0.0158,0.2,IDTOHpeak,Daley1
1,15,876,55700000,20.53,77.19,2.281,0,0.5,0.001282,0.1282,0.2,IDTOHpeak,Daley1
1,16,918,55300000,20.53,77.19,2.281,0,0.5,0.000767,0.0767,0.2,IDTOHpeak,Daley1
1,17,1224,12100000,20.77,78.08,1.154,0,0.5,0.000112,0.0112,0.2,IDTOHpeak,Daley05
1,18,961,49700000,20.77,78.08,1.154,0,0.5,0.001098,0.1098,0.2,IDTOHpeak,Daley05
1,19,1131,44100000,20.77,78.08,1.154,0,0.5,0.00013,0.013,0.2,IDTOHpeak,Daley05
1,20,1066,13400000,20.89,78.53,0.5802,0,0.5,0.00109,0.109,0.2,IDTOHpeak,Daley025
1,21,1248,11700000,20.89,78.53,0.5802,0,0.5,0.000136,0.0136,0.2,IDTOHpeak,Daley025
1,22,1000,46400000,20.89,78.53,0.5802,0,0.5,0.001043,0.1043,0.2,IDTOHpeak,Daley025
1,23,1182,46400000,20.89,78.53,0.5802,0,0.5,0.000151,0.0151,0.2,IDTOHpeak,Daley025
1,24,691.8,12600000,0.2053,0.6561,0.0228,0.1158,0.5,0.0983,9.83,0.2,IDTOHpeak,AachenRCM1
1,25,708.4,12700000,0.2053,0.5789,0.0228,0.193,0.5,0.0727,7.27,0.2,IDTOHpeak,AachenRCM1
1,26,725.5,13000000,0.2053,0.7719,0.0228,0,0.5,0.0547,5.47,0.2,IDTOHpeak,AachenRCM1
1,27,749.5,13400000,0.2053,0.6947,0.0228,0.0772,0.5,0.0346,3.46,0.2,IDTOHpeak,AachenRCM1
1,28,898.8,12800000,0.2053,0.1544,0.0228,0.6175,0.5,0.0079,0.79,0.2,IDTOHpeak,AachenRCM1
1,29,685.1,20000000,0.2053,0.7719,0.0228,0,0.5,0.174,17.4,0.2,IDTOHpeak,AachenRCM1
1,30,698.2,20100000,0.2053,0.6947,0.0228,0.0772,0.5,0.0710424,7.10424,0.2,IDTOHpeak,AachenRCM1
1,31,734.2,19000000,0.2053,0.7719,0.0228,0,0.5,0.02117081,2.117081,0.2,IDTOHpeak,AachenRCM1
1,32,847.4,20200000,0.2053,0.3088,0.0228,0.4631,0.5,0.01328713,1.328713,0.2,IDTOHpeak,AachenRCM1
1,33,907.1,20500000,0.2053,0.1389,0.0228,0.633,0.5,0.00447365,0.447365,0.2,IDTOHpeak,AachenRCM1
1,34,689.3,39900000,0.2053,0.7719,0.0228,0,0.5,0.05713574,5.713574,0.2,IDTOHpeak,AachenRCM1
1,35,727.3,41700000,0.2053,0.5789,0.0228,0.193,0.5,0.0075964,0.75964,0.2,IDTOHpeak,AachenRCM1
1,36,706.8,20700000,0.2051,0.7835,0.0114,0,0.5,0.06340984,6.340984,0.2,IDTOHpeak,AachenRCM05
1,37,775.8,20600000,0.2051,0.7835,0.0114,0,0.5,0.01863711,1.863711,0.2,IDTOHpeak,AachenRCM05
1,38,860.4,20600000,0.2051,0.4701,0.0114,0.3134,0.5,0.05654116,5.654116,0.2,IDTOHpeak,AachenRCM05
1,39,921,20600000,0.2051,0.3134,0.0114,0.4701,0.5,0.00662606,0.662606,0.2,IDTOHpeak,AachenRCM05
1,40,674.4,19600000,0.2053,0.7491,0.0456,0,0.5,0.20186237,20.186237,0.2,IDTOHpeak,AachenRCM2
1,41,750.2,20200000,0.2053,0.2996,0.0456,0.4495,0.5,0.00852702,0.852702,0.2,IDTOHpeak,AachenRCM2
1,42,1419.2,15609800,0.9785,0.8913,0.01085,0,0.5,7.19E-08,7.19E-06,0.2,IDTOHpeak,DLR1
1,43,854.6,14910000,0.9785,0.8913,0.01085,0,0.5,0.00001235,0.001235,0.2,IDTOHpeak,DLR1
